Entity,Code,Year,Number of one-year-olds vaccinated with HepB3,"Number of one-year-olds vaccinated with DTP containing vaccine, 3rd dose","Number of one-year-olds vaccinated with polio, 3rd dose",Population - Sex: all - Age: 0 - Variant: estimates,"Number of one-year-olds vaccinated with measles-containing vaccine, 1st dose",Number of one-year-olds vaccinated with Hib3,"Number of one-year-olds vaccinated with rubella-containing vaccine, 1st dose","Number of one-year-olds vaccinated with rotavirus, last dose",Number of one-year-olds vaccinated with BCG
Saint Pierre and Miquelon,SPM,1981,,,,58,,,,,
Saint Vincent and the Grenadines,VCT,1981,,989,1020,3011,,,,,
Samoa,WSM,1981,,3461,3461,5470,,,,,4405
San Marino,SMR,1981,,,,233,,,,,
Sao Tome and Principe,STP,1981,,1511,1727,3841,900,,,,3418
Saudi Arabia,SAU,1981,,211207,211207,279613,47820,,,,195266
Senegal,SEN,1981,,,,265321,,,,,
Serbia,SRB,1981,,,,112504,,,,,
Seychelles,SYC,1981,,227,279,1609,506,,506,,1170
Sierra Leone,SLE,1981,,,,136185,,,,,
Singapore,SGP,1981,,35284,35689,41671,23117,,,,33661
Sint Maarten (Dutch part),SXM,1981,,,,343,,,,,
Slovakia,SVK,1981,,,,92326,,,,,
Slovenia,SVN,1981,,,,30067,,,,,
Small island developing states (SIDS),,1981,,,,1123273,,,,,
Solomon Islands,SLB,1981,,3165,3075,9841,,,,,3888
Somalia,SOM,1981,,4636,4636,260325,6953,,,,6953
South Africa,ZAF,1981,,,,1017758,,,,,
South Korea,KOR,1981,,501846,510073,810615,41135,,,,345533
South Sudan,SSD,1981,,,,201783,,,,,
Spain,ESP,1981,,,,558005,47056,,47056,,
Sri Lanka,LKA,1981,,181835,181835,411094,,,,,234365
Sudan,SDN,1981,,6975,6975,745284,6975,,,,20924
Suriname,SUR,1981,,2671,2176,10528,3858,,,,
Sweden,SWE,1981,,95672,94705,95363,88907,,,,3866
Switzerland,CHE,1981,,,,73400,,,,,
Syria,SYR,1981,,51247,51247,379904,51247,,,,131779
Taiwan,TWN,1981,,,,412628,,,,,
Tajikistan,TJK,1981,,,,154132,,,,,
Tanzania,TZA,1981,,442190,369832,866824,410031,,,,594947
Thailand,THA,1981,,601602,358647,1153397,,,,,821417
Togo,TGO,1981,,10170,10170,126683,,,,,49719
Tokelau,TKL,1981,,,,46,,,,,
Tonga,TON,1981,,1067,1067,3099,260,,,,2480
Trinidad and Tobago,TTO,1981,,19441,17246,31672,,,,,
Tunisia,TUN,1981,,,,222773,,,,,
Turkey,TUR,1981,,846598,912739,1428786,687861,,,,555580
Turkmenistan,TKM,1981,,,,98674,,,,,
Turks and Caicos Islands,TCA,1981,,,,212,,,,,
Tuvalu,TUV,1981,,109,98,247,,,,,198
Uganda,UGA,1981,,48751,43335,594747,119170,,,,97503
Ukraine,UKR,1981,,,,733251,,,,,
United Arab Emirates,ARE,1981,,13753,13753,32831,12836,,,,5501
United Kingdom,GBR,1981,,336536,599913,727795,402381,,402381,,
United States,USA,1981,,3174228,3174228,3716076,3207293,,3207293,,
United States Virgin Islands,VIR,1981,,,,2365,,,,,
Upper-middle-income countries,,1981,,,,43966356,,,,,
Uruguay,URY,1981,,30391,31991,52450,29325,,,,40522
Uzbekistan,UZB,1981,,,,522760,,,,,
Vanuatu,VUT,1981,,,,4553,,,,,1370
Vatican,VAT,1981,,,,6,,,,,
Venezuela,VEN,1981,,261172,362738,496723,207970,,,,372411
Vietnam,VNM,1981,,,,1708280,,,,,
Wallis and Futuna,WLF,1981,,,,414,,,,,
Western Sahara,ESH,1981,,,,5920,,,,,
World,OWID_WRL,1981,,26230689,25090224,121157648,20528365,,3421394,,23949759
Yemen,YEM,1981,,12507,12507,483870,16676,,,,50027
Zambia,ZMB,1981,,,,261101,,,,,173601
Zimbabwe,ZWE,1981,,112798,109906,318626,161967,,,,185105
Afghanistan,AFG,1982,,19906,19906,490663,31849,,,,39811
Africa (UN),,1982,,,,21258962,,,,,
Albania,ALB,1982,,72305,70022,73806,70783,,,,70022
Algeria,DZA,1982,,,229166,762774,,,,,
American Samoa,ASM,1982,,,,1141,,,,,
Americas (UN),,1982,,,,15340819,,,,,
Andorra,AND,1982,,,,426,,,,,
Angola,AGO,1982,,,,384260,,,,,
Anguilla,AIA,1982,,,,159,,,,,
Antigua and Barbuda,ATG,1982,,1084,1180,1306,,,,,
Argentina,ARG,1982,,384731,318398,669961,444430,,,,510763
Armenia,ARM,1982,,,,77912,,,,,
Aruba,ABW,1982,,,,1215,,,,,
Asia (UN),,1982,,,,77110592,,,,,
Australia,AUS,1982,,111252,157606,236287,,,,,
Austria,AUT,1982,,83150,83150,93791,23097,,23097,,83150
Azerbaijan,AZE,1982,,,,178869,,,,,
Bahamas,BHS,1982,,3626,3521,5120,3416,,,,
Bahrain,BHR,1982,,8225,8225,10504,5622,,5622,,
Bangladesh,BGD,1982,,32519,32519,3675323,32519,,,,32519
Barbados,BRB,1982,,2740,2785,4014,2343,,2343,,
Belarus,BLR,1982,,,,158412,,,,,
Belgium,BEL,1982,,116899,110747,120862,71370,,,,
Belize,BLZ,1982,,3393,3615,5918,2837,,,,4728
Benin,BEN,1982,,,,181280,,,,,
Bermuda,BMU,1982,,,,752,,,,,
Bhutan,BTN,1982,,2341,1717,18276,3122,,,,7024
Bolivia,BOL,1982,,23623,23623,213613,29529,,,,61027
Bonaire Sint Eustatius and Saba,BES,1982,,,,255,,,,,
Bosnia and Herzegovina,BIH,1982,,,,74245,,,,,
Botswana,BWA,1982,,32802,30802,40880,30002,,,,37602
Brazil,BRA,1982,,2042514,1860147,3778118,2407249,,,,2334302
British Virgin Islands,VGB,1982,,,,281,,,,,
Brunei,BRN,1982,,5975,5975,5726,5311,,,,5975
Bulgaria,BGR,1982,,123268,123268,121962,112062,,,,123268
Burkina Faso,BFA,1982,,,,327151,,,,,
Burundi,BDI,1982,,61647,80328,214714,74724,,,,104613
Cambodia,KHM,1982,,,,242524,,,,,
Cameroon,CMR,1982,,52548,52548,380139,73567,,,,94586
Canada,CAN,1982,,,,369758,,,,,
Cape Verde,CPV,1982,,,,13201,,,,,
Cayman Islands,CYM,1982,,,,371,,,,,
Central African Republic,CAF,1982,,12912,12912,104721,14756,,,,22135
Chad,TCD,1982,,,,196037,,,,,
Chile,CHL,1982,,256749,256749,262187,248968,,,,243781
China,CHN,1982,,,17020680,22571970,,,,,
Colombia,COL,1982,,204062,211911,799798,219759,,,,510155
Comoros,COM,1982,,,,15181,,,,,
Congo,COG,1982,,32382,33071,72681,37893,,,,62696
Cook Islands,COK,1982,,223,250,453,,,,,258
Costa Rica,CRI,1982,,58365,57645,74522,62689,,,,58365
Cote d'Ivoire,CIV,1982,,,,395868,,,,,
Croatia,HRV,1982,,,,67912,,,,,
Cuba,CUB,1982,,132928,111445,144781,73849,,,,130243
Curacao,CUW,1982,,,,3163,,,,,
Cyprus,CYP,1982,,3385,3515,13854,2734,,2734,,
Czechia,CZE,1982,,,,141162,,,,,
Democratic Republic of Congo,COD,1982,,182105,235665,1182026,267801,,,,664146
Denmark,DNK,1982,,48034,54660,52810,,,,,
Djibouti,DJI,1982,,780,780,13826,1949,,,,650
Dominica,DMA,1982,,1495,1102,1624,649,,,,725
Dominican Republic,DOM,1982,,51226,78668,191310,45737,,,,69521
East Timor,TLS,1982,,,,28166,,,,,
Ecuador,ECU,1982,,93242,95906,278772,119883,,,,263742
Egypt,EGY,1982,,881173,1035765,1670631,633826,,,,772959
El Salvador,SLV,1982,,65843,65843,165597,67410,,,,72113
Equatorial Guinea,GNQ,1982,,,,12555,,,,,
Eritrea,ERI,1982,,,,69314,,,,,
Estonia,EST,1982,,,,22749,,,,,
Eswatini,SWZ,1982,,10437,10437,29226,10170,,,,17663
Ethiopia,ETH,1982,,44803,44803,1667902,104540,,,,89606
Europe (UN),,1982,,,,9815592,,,,,
Falkland Islands,FLK,1982,,,,30,,,,,
Faroe Islands,FRO,1982,,,,749,,,,,
Fiji,FJI,1982,,13654,13868,21913,427,,,,20908
Finland,FIN,1982,,59383,49275,64601,47380,,47380,,56856
France,FRA,1982,,660352,668121,778899,,,,,629277
French Guiana,GUF,1982,,,,1914,,,,,
French Polynesia,PYF,1982,,,,4934,,,,,
Gabon,GAB,1982,,,,28832,,,,,22136
Gambia,GMB,1982,,24100,22895,34211,21389,,,,27414
Georgia,GEO,1982,,,,99053,,,,,
Germany,DEU,1982,,814861,798060,852914,420032,,,,
Ghana,GHA,1982,,113736,123626,506404,103846,,,,
Gibraltar,GIB,1982,,,,514,,,,,
Greece,GRC,1982,,117199,135556,143486,,,,,107315
Greenland,GRL,1982,,,,1000,,,,,
Grenada,GRD,1982,,1374,1496,2224,123,,,,
Guadeloupe,GLP,1982,,,,6492,,,,,
Guam,GUM,1982,,,,2946,,,,,
Guatemala,GTM,1982,,124576,124576,290075,33220,,,,77514
Guernsey,GGY,1982,,,,621,,,,,
Guinea,GIN,1982,,28102,28102,214186,63697,,,,13114
Guinea-Bissau,GNB,1982,,,,37352,,,,,
Guyana,GUY,1982,,11622,16008,22742,14912,,,,17105
Haiti,HTI,1982,,25508,13735,208316,5887,,,,113806
High-income countries,,1982,,,,14590013,,,,,
Honduras,HND,1982,,70749,72287,160797,73825,,,,76902
Hong Kong,HKG,1982,,,,84588,,,,,
Hungary,HUN,1982,,140931,140931,135626,140931,,,,140931
Iceland,ISL,1982,,4343,4343,4359,,,,,
India,IND,1982,,2674584,1783056,24012074,,,,,891528
Indonesia,IDN,1982,,45339,45339,4759717,,,,,2720364
Iran,IRN,1982,,658562,1188624,1837434,883436,,,,160625
Iraq,IRQ,1982,,93681,83272,543470,57249,,,,431973
Ireland,IRL,1982,,30892,56756,70837,,,,,
Isle of Man,IMN,1982,,,,757,,,,,
Israel,ISR,1982,,80972,81852,91255,77451,,,,59849
Italy,ITA,1982,,,,625307,,,,,
Jamaica,JAM,1982,,20745,43932,60242,7322,,,,16474
Japan,JPN,1982,,1219865,1430706,1500493,993964,,,,1445766
Jersey,JEY,1982,,,,859,,,,,
Jordan,JOR,1982,,70606,70606,98769,45188,,,,
Kazakhstan,KAZ,1982,,,,389621,,,,,
Kenya,KEN,1982,,,,770739,,,,,
Kiribati,KIR,1982,,1074,811,2215,,,,,1845
Kosovo,OWID_KOS,1982,,,,51233,,,,,
Kuwait,KWT,1982,,44340,44874,53039,42203,,,,
Kyrgyzstan,KGZ,1982,,,,115067,,,,,
Land-locked developing countries (LLDC),,1982,,,,8634037,,,,,
Laos,LAO,1982,,8594,8594,134863,8594,,,,7367
Latin America and the Caribbean (UN),,1982,,,,11220808,,,,,
Latvia,LVA,1982,,,,36865,,,,,
Least developed countries,,1982,,,,17535952,,,,,
Lebanon,LBN,1982,,3525,7931,90879,881,,,,
Lesotho,LSO,1982,,30812,29801,54719,25761,,,,42429
Less developed regions,,1982,,,,108273064,,,,,
"Less developed regions, excluding China",,1982,,,,85196712,,,,,
"Less developed regions, excluding least developed countries",,1982,,,,90737112,,,,,
Liberia,LBR,1982,,,,86636,,,,,
Libya,LBY,1982,,79420,79420,146212,71699,,,,98172
Liechtenstein,LIE,1982,,,,382,,,,,
Lithuania,LTU,1982,,,,52166,,,,,
Low-income countries,,1982,,,,10001106,,,,,
Lower-middle-income countries,,1982,,,,53395864,,,,,
Luxembourg,LUX,1982,,,,4319,,,,,
Macao,MAC,1982,,,,4349,,,,,
Madagascar,MDG,1982,,54152,28881,403354,,,,,79422
Malawi,MWI,1982,,179302,162492,314099,179302,,,,243738
Malaysia,MYS,1982,,296697,268246,410171,,,,,386112
Maldives,MDV,1982,,68,68,7385,2320,,,,1365
Mali,MLI,1982,,,,353024,,,,,70191
Malta,MLT,1982,,,4347,5809,,,,,
Marshall Islands,MHL,1982,,,,1603,,,,,
Martinique,MTQ,1982,,,,5640,,,,,
Mauritania,MRT,1982,,11997,11397,62800,26393,,,,36590
Mauritius,MUS,1982,,21618,22078,22169,7819,,,,20468
Mayotte,MYT,1982,,,,2542,,,,,
Mexico,MEX,1982,,892871,2209855,2265604,825905,,,,1116088
Micronesia (country),FSM,1982,,,,3201,,,,,
Moldova,MDA,1982,,,,84609,,,,,
Monaco,MCO,1982,,,,279,,,,,
Mongolia,MNG,1982,,46267,50367,63283,3514,,,,30454
Montenegro,MNE,1982,,,,10682,,,,,
Montserrat,MSR,1982,,,,205,,,,,
More developed regions,,1982,,,,15722132,,,,,
Morocco,MAR,1982,,226122,226122,736034,120127,,,,353316
Mozambique,MOZ,1982,,190757,190757,527066,257301,,,,248428
Myanmar,MMR,1982,,90494,10055,1048844,,,,,201097
Namibia,NAM,1982,,,,37142,,,,,
Nauru,NRU,1982,,,,222,,,,,
Nepal,NPL,1982,,97618,16270,590223,10846,,,,319971
Netherlands,NLD,1982,,172877,172877,175085,163966,,163966,,
New Caledonia,NCL,1982,,,,3906,,,,,
New Zealand,NZL,1982,,36570,,49749,37071,,37071,,
Nicaragua,NIC,1982,,35291,92803,136928,52284,,,,108488
Niger,NER,1982,,17522,17522,332774,52565,,,,81767
Nigeria,NGA,1982,,,,3392249,,,,,631866
Niue,NIU,1982,,19,65,76,63,,63,,78
North Korea,PRK,1982,,185009,185009,376010,105201,,,,185009
North Macedonia,MKD,1982,,,,37883,,,,,
Northern America (UN),,1982,,,,4120011,,,,,
Northern Mariana Islands,MNP,1982,,,,583,,,,,
Norway,NOR,1982,,,,50761,,,,,
Oceania (UN),,1982,,,,469228,,,,,
Oman,OMN,1982,,12301,12301,53212,12301,,,,39467
Pakistan,PAK,1982,,156897,156897,3586863,94138,,,,376552
Palau,PLW,1982,,,,290,,,,,
Palestine,PSE,1982,,,,67961,,,,,
Panama,PAN,1982,,34742,34742,59390,37059,,,,48060
Papua New Guinea,PNG,1982,,31400,29234,115591,,,,,54138
Paraguay,PRY,1982,,36465,41828,112968,27885,,,,50408
Peru,PER,1982,,134089,134089,606158,186558,,,,378947
Philippines,PHL,1982,,908946,858449,1767723,151491,,,,1110934
Poland,POL,1982,,634153,634153,678208,620802,,,,620802
Portugal,PRT,1982,,115013,26541,147853,67828,,,,112064
Puerto Rico,PRI,1982,,,,69516,,,,,
Qatar,QAT,1982,,2912,2912,8182,1731,,,,3462
Reunion,REU,1982,,,,12765,,,,,
Romania,ROU,1982,,,,347762,,,,,
Russia,RUS,1982,,,,2154762,,,,,
Rwanda,RWA,1982,,91553,48186,271599,115645,,,,120464
Saint Barthelemy,BLM,1982,,,,52,,,,,
Saint Helena,SHN,1982,,,,143,,,,,
Saint Kitts and Nevis,KNA,1982,,992,1003,1069,,,,,
Saint Lucia,LCA,1982,,3318,3402,3994,1806,,,,2520
Saint Martin (French part),MAF,1982,,,,235,,,,,
Saint Pierre and Miquelon,SPM,1982,,,,58,,,,,
Saint Vincent and the Grenadines,VCT,1982,,2038,3012,2985,1217,,,,
Samoa,WSM,1982,,4537,4537,5501,3077,,,,5006
San Marino,SMR,1982,,,,235,,,,,
Sao Tome and Principe,STP,1982,,1241,1752,3894,1168,,,,3285
Saudi Arabia,SAU,1982,,255436,255436,294856,218357,,,,230717
Senegal,SEN,1982,,,,270137,,,,,
Serbia,SRB,1982,,,,110293,,,,,
Seychelles,SYC,1982,,968,1003,1620,1126,,1126,,1461
Sierra Leone,SLE,1982,,,,139076,,,,,
Singapore,SGP,1982,,34028,34028,44090,31978,,,,35668
Sint Maarten (Dutch part),SXM,1982,,,,372,,,,,
Slovakia,SVK,1982,,,,91366,,,,,
Slovenia,SVN,1982,,,,29156,,,,,
Small island developing states (SIDS),,1982,,,,1145289,,,,,
Solomon Islands,SLB,1982,,2140,2047,10086,,,,,3350
Somalia,SOM,1982,,11722,11722,263176,9377,,,,18755
South Africa,ZAF,1982,,,,1059280,,,,,
South Korea,KOR,1982,,508500,583525,812001,41680,,41680,,366787
South Sudan,SSD,1982,,,,205949,,,,,
Spain,ESP,1982,,,,517219,151231,,151231,,
Sri Lanka,LKA,1982,,230509,226465,397418,,,,,262861
Sudan,SDN,1982,,14537,14537,776645,7268,,,,21805
Suriname,SUR,1982,,6412,5571,11012,1787,,,,
Sweden,SWE,1982,,94750,93793,93331,87093,,87093,,5742
Switzerland,CHE,1982,,,,74067,,,,,
Syria,SYR,1982,,55933,55933,385702,82036,,,,137969
Taiwan,TWN,1982,,,,415445,,,,,
Tajikistan,TJK,1982,,,,158542,,,,,
Tanzania,TZA,1982,,411208,394760,886703,411208,,,,526347
Thailand,THA,1982,,569310,453124,1136546,,,,,848156
Togo,TGO,1982,,16253,11609,129780,,,,,55725
Tokelau,TKL,1982,,,,46,,,,,
Tonga,TON,1982,,1496,2301,3084,1265,,,,2818
Trinidad and Tobago,TTO,1982,,17427,19041,32119,,,,,
Tunisia,TUN,1982,,,,220171,91196,,,,184512
Turkey,TUR,1982,,768399,808144,1428503,847889,,,,622668
Turkmenistan,TKM,1982,,,,101716,,,,,
Turks and Caicos Islands,TCA,1982,,,,223,,,,,
Tuvalu,TUV,1982,,171,187,261,,,,,185
Uganda,UGA,1982,,66466,49849,610386,116315,,,,127393
Ukraine,UKR,1982,,,,736684,,,,,
United Arab Emirates,ARE,1982,,14387,15390,35327,13717,,,,9368
United Kingdom,GBR,1982,,387296,613827,716905,423833,,423833,,
United States,USA,1982,,3237597,3271322,3748443,3271322,,3271322,,
United States Virgin Islands,VIR,1982,,,,2348,,,,,
Upper-middle-income countries,,1982,,,,45490664,,,,,
Uruguay,URY,1982,,35018,37631,52095,27178,,27178,,39721
Uzbekistan,UZB,1982,,,,538297,,,,,
Vanuatu,VUT,1982,,967,747,4713,879,,,,2682
Vatican,VAT,1982,,,,6,,,,,
Venezuela,VEN,1982,,259974,372793,502981,220733,,,,372793
Vietnam,VNM,1982,,,,1752094,17063,,,,
Wallis and Futuna,WLF,1982,,,,429,,,,,
Western Sahara,ESH,1982,,,,6274,,,,,
World,OWID_WRL,1982,,29146344,47800004,123995192,22151221,,4663415,,26814636
Yemen,YEM,1982,,17379,17379,501739,17379,,,,56482
Zambia,ZMB,1982,,,,268749,,,,,172883
Zimbabwe,ZWE,1982,,143330,143330,335702,180720,,,,202532
Afghanistan,AFG,1983,,19612,19612,487111,35301,,,,39223
Africa (UN),,1983,,,,21778048,,,,,
Albania,ALB,1983,,73506,71185,75513,74280,,,,69638
Algeria,DZA,1983,,,228128,776952,,,,,
American Samoa,ASM,1983,,,,1188,,,,,
Americas (UN),,1983,,,,15435290,,,,,
Andorra,AND,1983,,,,554,,,,,
Angola,AGO,1983,,22749,,400959,98579,,,,94787
Anguilla,AIA,1983,,,,159,,,,,
Antigua and Barbuda,ATG,1983,,1318,1318,1315,639,,,,
Argentina,ARG,1983,,403645,522753,667799,443348,,,,463199
Armenia,ARM,1983,,,,80321,,,,,
Aruba,ABW,1983,,,,1224,,,,,
Asia (UN),,1983,,,,77607832,,,,,
Australia,AUS,1983,,130380,222831,239608,161197,,161197,,
Austria,AUT,1983,,84098,84098,91673,23360,,23360,,84098
Azerbaijan,AZE,1983,,,,184525,,,,,
Bahamas,BHS,1983,,3498,3498,5162,3552,,,,
Bahrain,BHR,1983,,9031,9031,11083,6420,,6420,,
Bangladesh,BGD,1983,,33220,33220,3701651,33220,,,,66439
Barbados,BRB,1983,,3018,2712,4087,2406,,2406,,
Belarus,BLR,1983,,,,165086,,,,,
Belgium,BEL,1983,,115850,109752,117724,80485,,,,
Belize,BLZ,1983,,3314,3426,5955,2415,,,,4550
Benin,BEN,1983,,,,185874,,,,,
Bermuda,BMU,1983,,,,805,,,,,
Bhutan,BTN,1983,,2559,2239,18683,3359,,,,7358
Bolivia,BOL,1983,,19984,21982,216101,25979,,,,53956
Bonaire Sint Eustatius and Saba,BES,1983,,,,260,,,,,
Bosnia and Herzegovina,BIH,1983,,,,76130,,,,,
Botswana,BWA,1983,,33588,32769,41339,32359,,,,38503
Brazil,BRA,1983,,2215167,2030570,3796404,2510523,,,,2436684
British Virgin Islands,VGB,1983,,,,283,,,,,
Brunei,BRN,1983,,5231,5539,5891,5785,,,,6092
Bulgaria,BGR,1983,,120623,119404,121436,119404,,,,120623
Burkina Faso,BFA,1983,,,,335436,,,,,
Burundi,BDI,1983,,86485,68795,218761,106140,,,,102209
Cambodia,KHM,1983,,,,256961,,,,,
Cameroon,CMR,1983,,90916,90916,386269,90916,,,,167286
Canada,CAN,1983,,,,371448,,,,,
Cape Verde,CPV,1983,,2869,2744,13332,,,,,
Cayman Islands,CYM,1983,,,,379,,,,,
Central African Republic,CAF,1983,,15081,15081,106905,15081,,,,27334
Chad,TCD,1983,,1781,,213773,,,,,
Chile,CHL,1983,,232108,232108,264550,247756,,,,239932
China,CHN,1983,,13113747,18314025,22201224,17635728,,,,7687369
Colombia,COL,1983,,334249,334249,807591,342208,,,,628707
Comoros,COM,1983,,,,15616,,,,,
Congo,COG,1983,,34686,36767,72605,40929,,,,62435
Cook Islands,COK,1983,,245,202,442,292,,,,318
Costa Rica,CRI,1983,,63858,63858,76766,62373,,,,61630
Cote d'Ivoire,CIV,1983,,,,410377,,,,,
Croatia,HRV,1983,,,,66346,,,,,
Cuba,CUB,1983,,140863,135172,158688,133749,,,,136595
Curacao,CUW,1983,,,,3191,,,,,
Cyprus,CYP,1983,,4629,4901,14448,2587,,2587,,
Czechia,CZE,1983,,,,137761,,,,,
Democratic Republic of Congo,COD,1983,,176268,286436,1221072,330503,,,,716091
Denmark,DNK,1983,,45548,51904,51743,,,,,
Djibouti,DJI,1983,,1868,1868,14190,2402,,,,4804
Dominica,DMA,1983,,1449,1433,1664,982,,,,1542
Dominican Republic,DOM,1983,,53511,40595,193853,44285,,,,75654
East Timor,TLS,1983,,,,28367,,,,,
Ecuador,ECU,1983,,83815,86519,282319,91926,,,,229816
Egypt,EGY,1983,,900639,1058646,1724197,647828,,,,837437
El Salvador,SLV,1983,,33318,31731,165542,72981,,,,76154
Equatorial Guinea,GNQ,1983,,,,13307,,,,,
Eritrea,ERI,1983,,,,70154,,,,,
Estonia,EST,1983,,,,23360,,,,,
Eswatini,SWZ,1983,,11801,11801,29893,12625,,,,19760
Ethiopia,ETH,1983,,60649,60649,1698274,106136,,,,106136
Europe (UN),,1983,,,,9957963,,,,,
Falkland Islands,FLK,1983,,,,30,,,,,
Faroe Islands,FRO,1983,,,,710,,,,,
Fiji,FJI,1983,,17386,17604,22418,5433,,,,21516
Finland,FIN,1983,,60917,50548,66305,52492,,52492,,58324
France,FRA,1983,,696444,711921,753749,116074,,116074,,626800
French Guiana,GUF,1983,,,,2042,,,,,
French Polynesia,PYF,1983,,,,5012,,,,,
Gabon,GAB,1983,,3910,,29717,,,,,22342
Gambia,GMB,1983,,19407,21911,35725,21911,,,,30050
Georgia,GEO,1983,,,,101451,,,,,
Germany,DEU,1983,,780957,789355,837178,394677,,,,
Ghana,GHA,1983,,118067,118067,532149,82134,,,,159134
Gibraltar,GIB,1983,,,,517,,,,,
Greece,GRC,1983,,98211,132312,133536,,,,,76386
Greenland,GRL,1983,,,,1029,,,,,
Grenada,GRD,1983,,1652,1749,2229,170,,,,
Guadeloupe,GLP,1983,,,,6668,,,,,
Guam,GUM,1983,,,,2971,,,,,
Guatemala,GTM,1983,,123956,123956,295647,25355,,,,67613
Guernsey,GGY,1983,,,,636,,,,,
Guinea,GIN,1983,,28823,28823,219264,57645,,,,19215
Guinea-Bissau,GNB,1983,,3126,1042,37950,9378,,,,
Guyana,GUY,1983,,12480,13341,22169,10974,,,,16354
Haiti,HTI,1983,,18144,12096,212180,12096,,,,124993
High-income countries,,1983,,,,14431754,,,,,
Honduras,HND,1983,,81531,79963,163488,76828,,,,86235
Hong Kong,HKG,1983,,,,82483,,,,,
Hungary,HUN,1983,,133798,132447,128035,133798,,,,133798
Iceland,ISL,1983,,4100,4231,4364,3533,,3533,,
India,IND,1983,,3177073,2269338,24416892,,,,,1361603
Indonesia,IDN,1983,,274331,182887,4784506,274331,,,,2651862
Iran,IRN,1983,,558597,575524,1930268,643233,,,,169272
Iraq,IRQ,1983,,85457,85457,557150,64093,,,,464671
Ireland,IRL,1983,,29330,53073,68126,6983,,6983,,52375
Isle of Man,IMN,1983,,,,729,,,,,
Israel,ISR,1983,,78118,77240,93718,74607,,,,
Italy,ITA,1983,,,553759,609774,,,,,
Jamaica,JAM,1983,,31458,28991,61415,9252,,,,34542
Japan,JPN,1983,,1163495,1381651,1479172,1018058,,,,1323476
Jersey,JEY,1983,,,,874,,,,,
Jordan,JOR,1983,,73760,74730,102116,54349,,,,
Kazakhstan,KAZ,1983,,,,396026,,,,,
Kenya,KEN,1983,,,,793115,,,,,
Kiribati,KIR,1983,,837,523,2273,502,,,,1506
Kosovo,OWID_KOS,1983,,,,52712,,,,,
Kuwait,KWT,1983,,49164,49716,54740,44192,,,,
Kyrgyzstan,KGZ,1983,,,,119442,,,,,
Land-locked developing countries (LLDC),,1983,,,,8841481,,,,,
Laos,LAO,1983,,8846,8846,138995,8846,,,,8846
Latin America and the Caribbean (UN),,1983,,,,11307278,,,,,
Latvia,LVA,1983,,,,38849,,,,,
Least developed countries,,1983,,,,17913720,,,,,
Lebanon,LBN,1983,,3546,5319,91177,7092,,,,
Lesotho,LSO,1983,,34006,32976,55782,27308,,,,44827
Less developed regions,,1983,,,,109400864,,,,,
"Less developed regions, excluding China",,1983,,,,86710568,,,,,
"Less developed regions, excluding least developed countries",,1983,,,,91487144,,,,,
Liberia,LBR,1983,,,,88672,,,,,
Libya,LBY,1983,,89116,89116,133120,80092,,,,94756
Liechtenstein,LIE,1983,,,,379,,,,,
Lithuania,LTU,1983,,,,54869,,,,,
Low-income countries,,1983,,,,10240358,,,,,
Lower-middle-income countries,,1983,,,,54565024,,,,,
Luxembourg,LUX,1983,,3231,3877,4229,1680,,,,
Macao,MAC,1983,,,,4880,,,,,
Madagascar,MDG,1983,,84482,40404,411957,,,,,113867
Malawi,MWI,1983,,182902,168386,323917,168386,,,,235159
Malaysia,MYS,1983,,242474,229932,422838,45986,,,,392975
Maldives,MDV,1983,,901,901,7414,2566,,,,1872
Mali,MLI,1983,,,,357829,,,,,80996
Malta,MLT,1983,,,4742,5803,,,,,3515
Marshall Islands,MHL,1983,,,,1644,,,,,
Martinique,MTQ,1983,,,,5799,,,,,
Mauritania,MRT,1983,,12330,12330,64198,26510,,,,40690
Mauritius,MUS,1983,,19678,20120,21281,11718,,,,19457
Mayotte,MYT,1983,,,,2687,,,,,
Mexico,MEX,1983,,917524,1969319,2267635,514708,,,,1163689
Micronesia (country),FSM,1983,,,,3250,,,,,
Moldova,MDA,1983,,,,86516,,,,,
Monaco,MCO,1983,,,,361,,,,,
Mongolia,MNG,1983,,47240,51425,64610,598,,,,31094
Montenegro,MNE,1983,,,,10517,,,,,
Montserrat,MSR,1983,,,,208,,,,,
More developed regions,,1983,,,,15854704,,,,,
Morocco,MAR,1983,,295710,295710,739641,252436,,,,447172
Mozambique,MOZ,1983,,170250,170250,531549,228493,,,,264335
Myanmar,MMR,1983,,112031,30554,1072059,,,,,285170
Namibia,NAM,1983,,,,37418,,,,,
Nauru,NRU,1983,,,,235,,,,,
Nepal,NPL,1983,,127956,22253,603955,61196,,,,294855
Netherlands,NLD,1983,,168937,168937,171988,160229,,160229,,
New Caledonia,NCL,1983,,,,3886,,,,,
New Zealand,NZL,1983,,36358,35860,49949,35362,,35362,,
Nicaragua,NIC,1983,,31931,110428,138749,54549,,,,118411
Niger,NER,1983,,15027,15027,342603,48087,,,,84152
Nigeria,NGA,1983,,,,3466186,,,,,582940
Niue,NIU,1983,,28,50,84,52,,52,,54
North Korea,PRK,1983,,191211,191211,378730,110314,,,,191211
North Macedonia,MKD,1983,,,,37593,,,,,
Northern America (UN),,1983,,,,4128012,,,,,
Northern Mariana Islands,MNP,1983,,,,638,,,,,
