Entity,Code,Year,Number of one-year-olds vaccinated with HepB3,"Number of one-year-olds vaccinated with DTP containing vaccine, 3rd dose","Number of one-year-olds vaccinated with polio, 3rd dose",Population - Sex: all - Age: 0 - Variant: estimates,"Number of one-year-olds vaccinated with measles-containing vaccine, 1st dose",Number of one-year-olds vaccinated with Hib3,"Number of one-year-olds vaccinated with rubella-containing vaccine, 1st dose","Number of one-year-olds vaccinated with rotavirus, last dose",Number of one-year-olds vaccinated with BCG
Norway,NOR,1981,,,,50655,,,,,
Oceania (UN),,1981,,,,460505,,,,,
Oman,OMN,1981,,9137,9137,50447,4809,,,,25968
Pakistan,PAK,1981,,89250,89250,3412026,59500,,,,327251
Palau,PLW,1981,,,,269,,,,,
Palestine,PSE,1981,,,,65996,,,,,
Panama,PAN,1981,,44410,42133,58306,43271,,,,55797
Papua New Guinea,PNG,1981,,34062,34062,113728,,,,,68124
Paraguay,PRY,1981,,28745,26692,108546,16426,,,,43118
Peru,PER,1981,,115273,115273,599279,149855,,,,363109
Philippines,PHL,1981,,892621,760380,1724351,,,,,1008331
Poland,POL,1981,,645514,638790,673232,625341,,,,625341
Portugal,PRT,1981,,114417,24409,149252,74752,,,,112891
Puerto Rico,PRI,1981,,,,71106,,,,,
Qatar,QAT,1981,,3221,3221,7855,749,,,,2097
Reunion,REU,1981,,,,13053,,,,,
Romania,ROU,1981,,,,372063,,,,,
Russia,RUS,1981,,,,2131550,,,,,
Rwanda,RWA,1981,,39009,34419,262679,96374,,,,117026
Saint Barthelemy,BLM,1981,,,,47,,,,,
Saint Helena,SHN,1981,,,,135,,,,,
Saint Kitts and Nevis,KNA,1981,,716,759,1085,,,,,
Saint Lucia,LCA,1981,,2691,2733,3962,,,,,1850
Saint Martin (French part),MAF,1981,,,,204,,,,,
